Date,Open,High,Low,Close,Adj Close,Volume,Return Series
15/10/2017,4316.509766,4390.100098,4214.870117,4339.060059,4339.060059,4087591,0.005240457
14/10/2017,4412.089844,4459.589844,4143.509766,4316.439941,4316.439941,4604568,-0.021679047
13/10/2017,4257.399902,4420.439941,4204.549805,4412.089844,4412.089844,3936925,0.03633437
12/10/2017,4122.959961,4445.279785,4087.379883,4257.399902,4257.399902,9883216,0.032607627
11/10/2017,3686.73999,4124.299805,3673.73999,4122.959961,4122.959961,9329340,0.118321328
10/10/2017,3626.850098,3728.5,3617.179932,3686.73999,3686.73999,3667246,0.016512922
09/10/2017,3681.800049,3785.26001,3608.179932,3626.850098,3626.850098,5615733,-0.014924752
08/10/2017,3596.76001,3747.27002,3531.080078,3681.800049,3681.800049,5418585,0.023643512
07/10/2017,3453.429932,3597.050049,3427.550049,3596.76001,3596.76001,3475716,0.041503688
06/10/2017,3402.149902,3464.290039,3357.26001,3453.429932,3453.429932,1938868,0.015072831
05/10/2017,3384.149902,3439.969971,3326.879883,3402.149902,3402.149902,3234394,0.005318913
04/10/2017,3234.25,3396.320068,3183,3384.149902,3384.149902,3670211,0.046347655
03/10/2017,3320.790039,3380.149902,3170.47998,3234.25,3234.25,3383637,-0.026060075
02/10/2017,3352.169922,3455.879883,3249.850098,3320.790039,3320.790039,3881192,-0.009361066
01/10/2017,3362.060059,3434.439941,3315.830078,3352.169922,3352.169922,3984915,-0.00294169
30/09/2017,3282.51001,3370.570068,3242.840088,3362.060059,3362.060059,2275183,0.024234518
29/09/2017,3133.23999,3323.540039,3116.23999,3282.51001,3282.51001,2257366,0.047640787
28/09/2017,3197.72998,3273.080078,3045.48999,3133.23999,3133.23999,3892119,-0.020167428
27/09/2017,3217.560059,3279.899902,3125.090088,3197.72998,3197.72998,4184790,-0.00616308
26/09/2017,2951.709961,3223.840088,2938.02002,3217.560059,3217.560059,4835809,0.09006647
25/09/2017,3001.199951,3087.26001,2919.02002,2951.709961,2951.709961,2750230,-0.016490068
24/09/2017,2818.560059,3033.570068,2809.340088,3001.199951,3001.199951,3574663,0.064799007
23/09/2017,2884.129883,2929.26001,2746.060059,2818.560059,2818.560059,1679445,-0.022734699
22/09/2017,2711.100098,2904.120117,2677.439941,2884.129883,2884.129883,2302503,0.063822721
21/09/2017,2712.090088,2835.47998,2629.77002,2711.100098,2711.100098,3143877,-0.000365028
20/09/2017,2975.030029,3010.060059,2682.75,2712.090088,2712.090088,5436603,-0.088382281
19/09/2017,2991.469971,3075.439941,2921.810059,2975.030029,2975.030029,3292447,-0.005495607
18/09/2017,3098.169922,3146.75,2925.620117,2991.469971,2991.469971,3618890,-0.03443967
17/09/2017,2829.459961,3132.409912,2823.929932,3098.169922,3098.169922,5135825,0.094968639
16/09/2017,2826.540039,2901.76001,2665.209961,2829.459961,2829.459961,3256978,0.001033038
15/09/2017,2777.110107,2988.939941,2708.73999,2826.540039,2826.540039,3611014,0.017799054
14/09/2017,2430.879883,2983.100098,2215.610107,2777.110107,2777.110107,9538687,0.142430001
13/09/2017,2966.590088,3006.830078,2410.919922,2430.879883,2430.879883,9071000,-0.180581135
12/09/2017,3168.050049,3176.429932,2861.469971,2966.590088,2966.590088,7387897,-0.063591155
11/09/2017,3230.27002,3349.550049,3102.409912,3168.050049,3168.050049,5457592,-0.019261539
10/09/2017,3280.350098,3407.360107,3179.199951,3230.27002,3230.27002,5204547,-0.015266687
09/09/2017,3345.370117,3354.939941,3150.179932,3280.350098,3280.350098,3325193,-0.019435822
08/09/2017,3339.5,3390.399902,3221,3345.370117,3345.370117,3111522,0.001757783
07/09/2017,3590.340088,3635.090088,3179.830078,3339.5,3339.5,7169400,-0.069865272
06/09/2017,3603.219971,3632.97998,3506.209961,3590.340088,3590.340088,3956685,-0.003574548
05/09/2017,3462.090088,3637.060059,3454.629883,3603.219971,3603.219971,5232822,0.040764359
04/09/2017,3458.169922,3522.679932,3262.22998,3462.090088,3462.090088,5348516,0.001133596
03/09/2017,3602.560059,3612.040039,3300.219971,3458.169922,3458.169922,7925735,-0.040079869
02/09/2017,3586.25,3719.399902,3492.610107,3602.560059,3602.560059,3909057,0.004547943
01/09/2017,3836.540039,3864.580078,3502.550049,3586.25,3586.25,5168389,-0.06523848
31/08/2017,3684.48999,3836.560059,3664.76001,3836.540039,3836.540039,5487055,0.041267597
30/08/2017,3577.590088,3713.350098,3565.580078,3684.48999,3684.48999,5431870,0.029880422
